eval_loss = 6.556526377087548
eval_acc = 0.025796661608497723
========================
Example #1: Label: 0 ; Prediction: 3
Example #2: Label: 0 ; Prediction: 16
Example #3: Label: 0 ; Prediction: 8
Example #4: Label: 0 ; Prediction: 3
Example #5: Label: 0 ; Prediction: 3
Example #6: Label: 0 ; Prediction: 8
Example #7: Label: 0 ; Prediction: 14
Example #8: Label: 0 ; Prediction: 3
Example #9: Label: 0 ; Prediction: 3
Example #10: Label: 0 ; Prediction: 11
Example #11: Label: 0 ; Prediction: 14
Example #12: Label: 0 ; Prediction: 10
Example #13: Label: 0 ; Prediction: 3
Example #14: Label: 0 ; Prediction: 13
Example #15: Label: 0 ; Prediction: 3
Example #16: Label: 0 ; Prediction: 3
Example #17: Label: 0 ; Prediction: 3
Example #18: Label: 0 ; Prediction: 3
Example #19: Label: 0 ; Prediction: 3
Example #20: Label: 0 ; Prediction: 12
Example #21: Label: 0 ; Prediction: 16
Example #22: Label: 0 ; Prediction: 3
Example #23: Label: 0 ; Prediction: 11
Example #24: Label: 0 ; Prediction: 14
Example #25: Label: 0 ; Prediction: 11
Example #26: Label: 0 ; Prediction: 8
Example #27: Label: 0 ; Prediction: 14
Example #28: Label: 0 ; Prediction: 8
Example #29: Label: 0 ; Prediction: 3
Example #30: Label: 0 ; Prediction: 12
Example #31: Label: 0 ; Prediction: 15
Example #32: Label: 0 ; Prediction: 15
Example #33: Label: 0 ; Prediction: 15
Example #34: Label: 0 ; Prediction: 10
Example #35: Label: 0 ; Prediction: 11
Example #36: Label: 0 ; Prediction: 15
Example #37: Label: 0 ; Prediction: 11
Example #38: Label: 0 ; Prediction: 14
Example #39: Label: 0 ; Prediction: 3
Example #40: Label: 0 ; Prediction: 3
Example #41: Label: 0 ; Prediction: 3
Example #42: Label: 0 ; Prediction: 11
Example #43: Label: 0 ; Prediction: 11
Example #44: Label: 0 ; Prediction: 13
Example #45: Label: 0 ; Prediction: 10
Example #46: Label: 0 ; Prediction: 13
Example #47: Label: 0 ; Prediction: 14
Example #48: Label: 0 ; Prediction: 14
Example #49: Label: 0 ; Prediction: 3
Example #50: Label: 0 ; Prediction: 3
Example #51: Label: 0 ; Prediction: 11
Example #52: Label: 0 ; Prediction: 14
Example #53: Label: 0 ; Prediction: 14
Example #54: Label: 0 ; Prediction: 6
Example #55: Label: 0 ; Prediction: 0
Example #56: Label: 0 ; Prediction: 10
Example #57: Label: 0 ; Prediction: 13
Example #58: Label: 0 ; Prediction: 11
Example #59: Label: 0 ; Prediction: 3
Example #60: Label: 0 ; Prediction: 2
Example #61: Label: 0 ; Prediction: 11
Example #62: Label: 0 ; Prediction: 15
Example #63: Label: 0 ; Prediction: 3
Example #64: Label: 0 ; Prediction: 3
Example #65: Label: 0 ; Prediction: 15
Example #66: Label: 0 ; Prediction: 11
Example #67: Label: 0 ; Prediction: 8
Example #68: Label: 0 ; Prediction: 6
Example #69: Label: 0 ; Prediction: 3
Example #70: Label: 0 ; Prediction: 8
Example #71: Label: 0 ; Prediction: 8
Example #72: Label: 0 ; Prediction: 3
Example #73: Label: 0 ; Prediction: 11
Example #74: Label: 0 ; Prediction: 3
Example #75: Label: 0 ; Prediction: 5
Example #76: Label: 0 ; Prediction: 8
Example #77: Label: 0 ; Prediction: 13
Example #78: Label: 0 ; Prediction: 15
Example #79: Label: 0 ; Prediction: 3
Example #80: Label: 0 ; Prediction: 2
Example #81: Label: 0 ; Prediction: 1
Example #82: Label: 0 ; Prediction: 2
Example #83: Label: 0 ; Prediction: 15
Example #84: Label: 0 ; Prediction: 14
Example #85: Label: 0 ; Prediction: 15
Example #86: Label: 0 ; Prediction: 0
Example #87: Label: 0 ; Prediction: 11
Example #88: Label: 0 ; Prediction: 11
Example #89: Label: 0 ; Prediction: 3
Example #90: Label: 0 ; Prediction: 13
Example #91: Label: 0 ; Prediction: 11
Example #92: Label: 0 ; Prediction: 0
Example #93: Label: 0 ; Prediction: 16
Example #94: Label: 0 ; Prediction: 14
Example #95: Label: 0 ; Prediction: 9
Example #96: Label: 0 ; Prediction: 6
Example #97: Label: 0 ; Prediction: 14
Example #98: Label: 0 ; Prediction: 3
Example #99: Label: 0 ; Prediction: 9
Example #100: Label: 0 ; Prediction: 3
Example #101: Label: 0 ; Prediction: 3
Example #102: Label: 0 ; Prediction: 3
Example #103: Label: 0 ; Prediction: 3
Example #104: Label: 0 ; Prediction: 11
Example #105: Label: 0 ; Prediction: 11
Example #106: Label: 0 ; Prediction: 9
Example #107: Label: 0 ; Prediction: 10
Example #108: Label: 0 ; Prediction: 3
Example #109: Label: 0 ; Prediction: 3
Example #110: Label: 0 ; Prediction: 3
Example #111: Label: 0 ; Prediction: 3
Example #112: Label: 0 ; Prediction: 3
Example #113: Label: 0 ; Prediction: 16
Example #114: Label: 0 ; Prediction: 15
Example #115: Label: 0 ; Prediction: 9
Example #116: Label: 0 ; Prediction: 11
Example #117: Label: 0 ; Prediction: 3
Example #118: Label: 0 ; Prediction: 11
Example #119: Label: 0 ; Prediction: 3
Example #120: Label: 0 ; Prediction: 13
Example #121: Label: 0 ; Prediction: 14
Example #122: Label: 0 ; Prediction: 13
Example #123: Label: 0 ; Prediction: 1
Example #124: Label: 0 ; Prediction: 14
Example #125: Label: 0 ; Prediction: 13
Example #126: Label: 0 ; Prediction: 14
Example #127: Label: 0 ; Prediction: 3
Example #128: Label: 0 ; Prediction: 15
Example #129: Label: 0 ; Prediction: 11
Example #130: Label: 0 ; Prediction: 14
Example #131: Label: 0 ; Prediction: 3
Example #132: Label: 0 ; Prediction: 3
Example #133: Label: 0 ; Prediction: 14
Example #134: Label: 0 ; Prediction: 14
Example #135: Label: 0 ; Prediction: 13
Example #136: Label: 0 ; Prediction: 9
Example #137: Label: 0 ; Prediction: 13
Example #138: Label: 0 ; Prediction: 14
Example #139: Label: 0 ; Prediction: 1
Example #140: Label: 0 ; Prediction: 11
Example #141: Label: 0 ; Prediction: 14
Example #142: Label: 0 ; Prediction: 11
Example #143: Label: 0 ; Prediction: 15
Example #144: Label: 0 ; Prediction: 11
Example #145: Label: 0 ; Prediction: 2
Example #146: Label: 0 ; Prediction: 8
Example #147: Label: 0 ; Prediction: 15
Example #148: Label: 0 ; Prediction: 11
Example #149: Label: 0 ; Prediction: 14
Example #150: Label: 0 ; Prediction: 15
Example #151: Label: 0 ; Prediction: 3
Example #152: Label: 0 ; Prediction: 10
Example #153: Label: 0 ; Prediction: 13
Example #154: Label: 0 ; Prediction: 3
Example #155: Label: 0 ; Prediction: 15
Example #156: Label: 0 ; Prediction: 13
Example #157: Label: 0 ; Prediction: 3
Example #158: Label: 0 ; Prediction: 14
Example #159: Label: 0 ; Prediction: 14
Example #160: Label: 0 ; Prediction: 11
Example #161: Label: 0 ; Prediction: 11
Example #162: Label: 0 ; Prediction: 3
Example #163: Label: 0 ; Prediction: 11
Example #164: Label: 0 ; Prediction: 10
Example #165: Label: 0 ; Prediction: 0
Example #166: Label: 0 ; Prediction: 12
Example #167: Label: 0 ; Prediction: 14
Example #168: Label: 0 ; Prediction: 15
Example #169: Label: 0 ; Prediction: 11
Example #170: Label: 0 ; Prediction: 14
Example #171: Label: 0 ; Prediction: 3
Example #172: Label: 0 ; Prediction: 10
Example #173: Label: 0 ; Prediction: 14
Example #174: Label: 0 ; Prediction: 10
Example #175: Label: 0 ; Prediction: 14
Example #176: Label: 0 ; Prediction: 3
Example #177: Label: 0 ; Prediction: 3
Example #178: Label: 0 ; Prediction: 3
Example #179: Label: 0 ; Prediction: 15
Example #180: Label: 0 ; Prediction: 6
Example #181: Label: 0 ; Prediction: 5
Example #182: Label: 0 ; Prediction: 9
Example #183: Label: 0 ; Prediction: 14
Example #184: Label: 0 ; Prediction: 15
Example #185: Label: 0 ; Prediction: 11
Example #186: Label: 0 ; Prediction: 14
Example #187: Label: 0 ; Prediction: 12
Example #188: Label: 0 ; Prediction: 8
Example #189: Label: 0 ; Prediction: 3
Example #190: Label: 0 ; Prediction: 15
